Rotor_X,Rotor_Y,Rotor_Z
-0.014982890259667982,-0.009251415623097385,0.034954500052653464
-0.015185851638686392,-0.009125205295162616,0.034954500052653464
-0.015265298346847655,-0.009059546733294474,0.034954500052653464
-0.015324786571834835,-0.009003699016287137,0.034954500052653464
-0.015373386163176631,-0.008951428914682114,0.034954500052653464
-0.015415278308687767,-0.008901826624231364,0.034954500052653464
-0.015452247347013896,-0.008853670810746927,0.034954500052653464
-0.01548496166690336,-0.008805529834153357,0.034954500052653464
-0.015514927630911678,-0.008758623039798108,0.034954500052653464
-0.015542009747088959,-0.008711413906456383,0.034954500052653464
-0.01556649279221467,-0.008663638173988573,0.034954500052653464
-0.015589193764618257,-0.008616246956593068,0.034954500052653464
-0.015609926542460642,-0.008568353962529838,0.034954500052653464
-0.01562853924809444,-0.008519322709703597,0.034954500052653464
-0.015645567916704066,-0.008469915007644189,0.034954500052653464
-0.01566107741621907,-0.008419999970328244,0.034954500052653464
-0.015674983011563216,-0.008369221046040702,0.034954500052653464
-0.015687323450360377,-0.008317513171172696,0.034954500052653464
-0.01569812673106187,-0.008264816818526812,0.034954500052653464
-0.015707410520434503,-0.00821107767004984,0.034954500052653464
-0.015715157105425315,-0.008156197125381853,0.034954500052653464
-0.01572142768674355,-0.008100234207388778,0.034954500052653464
-0.01572624478778048,-0.008043182349159008,0.034954500052653464
-0.015729458933500317,-0.007984743946236657,0.034954500052653464
-0.01573115968971454,-0.007925066930414846,0.034954500052653464
-0.015731324682524007,-0.007864097653368606,0.034954500052653464
-0.015729926062026094,-0.007801777054369126,0.034954500052653464
-0.01572694044120898,-0.007738066673811102,0.034954500052653464
-0.015722344060762884,-0.007672926999264522,0.034954500052653464
-0.0157160248651266,-0.007606180877569761,0.034954500052653464
-0.01570762717453466,-0.007537278722264609,0.034954500052653464
-0.015697916597918825,-0.007467533498468192,0.034954500052653464
-0.01568642326464614,-0.007396135486559207,0.034954500052653464
-0.015672453645563713,-0.0073220207271706686,0.034954500052653464
-0.015657295385962992,-0.007247341850226361,0.034954500052653464
-0.0156395991208625,-0.007169915015589466,0.034954500052653464
-0.015620318385316773,-0.007091341997410277,0.034954500052653464
-0.015598480574049499,-0.0070101150722549615,0.034954500052653464
-0.015575037660730678,-0.006927790198031186,0.034954500052653464
-0.01554873530718193,-0.006842462449568598,0.034954500052653464
-0.01552057188009448,-0.0067557654567608014,0.034954500052653464
-0.015490074763171572,-0.006666990570317396,0.034954500052653464
-0.015456955720853892,-0.006575785723571652,0.034954500052653464
-0.015421207817692892,-0.006482244856974324,0.034954500052653464
-0.015383077768798058,-0.006386801754240223,0.034954500052653464
-0.015342241981053297,-0.006289044751579444,0.034954500052653464
-0.015298624275339874,-0.006188956214307879,0.034954500052653464
-0.015252146662559793,-0.006086519330640446,0.034954500052653464
-0.015202729641755796,-0.005981717928382129,0.034954500052653464
-0.015150289694237675,-0.005874538453650454,0.034954500052653464
-0.0150947419592028,-0.005764968075139113,0.034954500052653464
-0.015035666052707748,-0.005652572887002841,0.034954500052653464
-0.014973459751308888,-0.00553801560916887,0.034954500052653464
-0.014907934256866777,-0.005421136942985377,0.034954500052653464
-0.014838603219460223,-0.005301439628145609,0.034954500052653464
-0.014765583651654457,-0.005179245857870635,0.034954500052653464
-0.014688982868490331,-0.005054808541755129,0.034954500052653464
-0.014608093059211489,-0.004927412597857512,0.034954500052653464
-0.014523427017603367,-0.004797858465160156,0.034954500052653464
-0.014434573306559988,-0.004665781094838367,0.034954500052653464
-0.014341042754867537,-0.004530808818718653,0.034954500052653464
-0.014243418371827384,-0.00439381026753261,0.034954500052653464
-0.014141144942241978,-0.004254294099771863,0.034954500052653464
-0.014034096085936091,-0.004112320832061314,0.034954500052653464
-0.013922144487567888,-0.003967956544741705,0.034954500052653464
-0.013805162969438583,-0.003821272316063042,0.034954500052653464
-0.013683025522455747,-0.0036723436375207873,0.034954500052653464
-0.01355560700700536,-0.003521251134503262,0.034954500052653464
-0.013422783120828107,-0.0033680810860200923,0.034954500052653464
-0.013284431697122756,-0.0032129245777341503,0.034954500052653464
-0.013140432956116669,-0.003055877694018252,0.034954500052653464
-0.012990454655697113,-0.002896842214957348,0.034954500052653464
-0.012834442465449994,-0.002736023790416255,0.034954500052653464
-0.012672697836643881,-0.0025739133914369347,0.034954500052653464
-0.012504221491000141,-0.0024098116732860354,0.034954500052653464
-0.01232997798754392,-0.0022448470178177147,0.034954500052653464
-0.012148729105339583,-0.0020781179162120723,0.034954500052653464
-0.011961452919488767,-0.00191074102223183,0.034954500052653464
-0.011767257011378235,-0.0017421280288647454,0.034954500052653464
-0.011566317244477988,-0.00157269185378248,0.034954500052653464
-0.011358763326604408,-0.0014027456280362185,0.034954500052653464
-0.011144308441678909,-0.0012322497062460535,0.034954500052653464
-0.01092290374514049,-0.0010613819749295682,0.034954500052653464
-0.010694480755851506,-0.0008903003554847099,0.034954500052653464
-0.010459046055121239,-0.0007192124841686118,0.034954500052653464
-0.010216664888722572,-0.0005483508489943555,0.034954500052653464
-0.009967251308649998,-0.000377826691529765,0.034954500052653464
-0.009710723671719127,-0.00020775997837362397,0.034954500052653464
-0.009447205881393951,-3.841054799870218e-05,0.034954500052653464
-0.009176737768948737,0.00013004286695443405,0.034954500052653464
-0.008899345906833932,0.00029744355827070955,0.034954500052653464
-0.008615089635193548,0.0004636209180942066,0.034954500052653464
-0.008324034422392847,0.0006284078425676203,0.034954500052653464
-0.008025916627316138,0.0007918315524436489,0.034954500052653464
-0.007721490770058424,0.0009533055024974727,0.034954500052653464
-0.007410565951489534,0.001112896773740378,0.034954500052653464
-0.007092912241758354,0.0012706329522448369,0.034954500052653464
-0.00676923264173733,0.001426011328850571,0.034954500052653464
-0.00643948546244765,0.001579030763842932,0.034954500052653464
-0.006103435294630687,0.0017297483589118893,0.034954500052653464
-0.005762021287528484,0.0018776031200061019,0.034954500052653464
